35c06747-2440-4fea-bc2d-be2342bc7b97,14/09/2024 10:45:31,23/09/2024 14:53:51,null,null
3ad6c7ec-31c1-417a-88e3-ff3e4e61b83e,18/09/2024 18:13:00,null,23/09/2024 14:25:32,null
3964a8e5-6a1f-452d-8532-8ea58c9211ae,18/09/2024 18:10:32,21/09/2024 19:06:30,21/09/2024 19:11:29,null
e16c7209-947b-468b-aaa5-f5edff649783,14/09/2024 10:49:16,24/09/2024 18:25:57,null,null
1fd26d51-e317-42b4-a97a-618aaa2993c3,14/09/2024 10:53:09,21/09/2024 20:38:09,21/09/2024 20:38:23,null
1954c0f7-1c2f-4020-96f3-9ceed24639d4,14/09/2024 10:59:52,21/09/2024 20:32:09,null,null
8a671e74-892c-451e-a9bc-3d62221a804f,14/09/2024 14:48:16,21/09/2024 19:12:41,21/09/2024 19:24:09,null
5ee39d4f-5ed0-4b1d-8d6d-72b050dfc81a,24/09/2024 19:22:41,24/09/2024 19:23:26,null,null
c7cd06e3-f8fb-460e-86c9-912b57733ae0,24/09/2024 19:22:50,24/09/2024 19:23:24,null,null
0cd6922f-3fec-48e1-a160-9e10a08a6446,24/09/2024 19:22:58,24/09/2024 19:23:23,null,null
767be828-557d-48ba-b88f-520e27e741c1,24/09/2024 19:23:07,24/09/2024 19:23:21,null,null
d0fafd6a-639e-4211-a407-9f146a7cf1c7,24/09/2024 19:36:30,24/09/2024 19:46:27,null,null
82ee89a3-6c24-4d6d-ad0c-31e9f2e51bb5,24/09/2024 19:51:09,24/09/2024 19:51:27,null,null
a2af8640-f663-449e-b900-46f0bc781d8d,24/09/2024 19:54:59,24/09/2024 19:55:09,null,null
5f6cd415-a942-482e-9780-1755d72161a3,24/09/2024 19:59:19,24/09/2024 20:00:13,null,null
